Item Code,Category,Type,Material,
RAC0215-10 -- Wooden Table Jali,Table,Coffee Table,Wood,
SLCHRNG-02 -- Old Burma teak Chauki Painted,Bajot,Pidda,Wood,
JAC-10 -- wooden Damchi,Cupboard,Cabinet,Wood,
SHMCHST-01 -- Old Burma teak & rose wood chest,Trunk,Chest,Wood,
H2H-1015-76 --  DOOR CABINET WITH GLASS,Cupboard,Cabinet,Glass and Wood,
SLMDSK-02 -- Old Munim Desk BurmaTeak,Table,Study Table,Wood,
JKBKT-01 -- Old Iron painted Bucket,Home Decor,Objects,Wood,
SLRK-21 -- Plate std.,Home Decor,Objects,Wood,
VNA-19 -- Wood Iron Centre Table,Table,Coffee Table,Metal and Wood,
SLCTSTD-01 -- Coat Stand Burma Teak,Stand,Coat Rack,Wood,
H2H4068 -- W/c 2 Drawer Console Table,Table,Console,Wood,
SLMIR-01 -- Burma teak  carving top Mirror,Mirror,,Glass and Wood,
SHMRK-01 -- Burma Teak Small Rack,Shelf,Open Shelf,Wood,
PCZ-12 -- wd.Wheel leg Iron ftd.Pitara,Trunk,Pitara,Wood,
GH-23 -- Lion Mask,Home Decor,Mask,Wood,
RAC0914-02 -- Mirror Frame,Frame,,Wood,
SLESL-02 -- Carved with Mirror Easal,Easel,,Glass and Wood,
JAC0715-19 -- Nesting table,Table,Nesting Table,Wood,
YLC-02 -- Floting candle,Home Decor,Objects,,
SLCTSTD -- Burma Teak Coat Std.,Stand,Coat Rack,Wood,
SLCOD-02 -- Old Burma teak Chest drawer,Trunk,Chest,Wood,
LSSFA-06 -- Shage Lounge Old Burma teak,Furniture,,Wood,What is Shage?
,,,,
RAC0914-07 -- Wooden Panel Consale,Table,Console,Wood,
H2H1015-05 -- W/C 2 DOOR 1 DR. ALMIRAH,Cupboard,Regular,Wood,
SL-STRCTR -- STRUCTURE WITH CANOPY 15FT HEIGHT,Furniture,,Wood,
JAC0215-04 -- Swing wth Chain,Swing,,Wood,
LSRK-01 -- Old Burma Teak,Furniture,,Wood,What is this ?
JAC0715-06 -- Consale Table 3 Drawer,Table,Console,Wood,
LSCSE-01 -- OldBurma teak Show case,Cupboard,Showcase,Glass and Wood,
JAC0715-18 -- Book Shelf wooden Iron,Shelf,Book Shelf,Metal and Wood,
JAC0215-07 -- Damchi,Cupboard,Cabinet,Wood,
JAC0715-28 -- Teak Mandap,Temple,,Wood,
LBLXM-01 -- Brass Laxmi,Home Decor,Statue,Metal,
JMCBRD-02 -- Old Rose wood Cupboard,Cupboard,Regular,Wood,
JMSFA-01 -- Burma teak Wood wth cane Sofa Set,Sofa,Cane,Wood,
LSSFA-01 --  Old Rose Wood Sofa set 2+1+1,Sofa,Fabric,Wood,
SLESL-07 -- PAINTING STD,Home Decor,Objects,Wood,what category is this?
RLBX-01 -- OLd Burma teak Leeter Box,Home Decor,Objects,Wood,
JAC0715-08 -- Coffee Table wth wheel,Table,Coffee Table,Wood,
SLCPD -- Art Deco,Furniture,,Wood,???????
AMMIR-01 -- burma teak,Furniture,,Wood,???????
SLESL-08 -- Burma teak Easal,Easel,,Wood,
JAC1013-04 -- Cart Box Carving,Home Decor,Box,Wood,
H2H4051 -- W/c Low Sitting,Chair,Sitting Chair,Wood,
JAC0914-21 -- Cloth Box,Home Decor,Box,Wood,
H2H4077 -- W/c Sofa Bench,Chair,Bench,Wood,Sofa or bench?
,,,,
H2H4070 -- W/c Table with 4 Stools,Table,Dining Table,Wood,
H2H4052 -- W/c Stool with back,Table,Stool,Wood,
H2H4078 -- W/I Table,Table,Coffee Table,Wood,
H2H4084 -- W/c 2 Drawer Stool with leather seat,Table,Stool,Wood,
JAC-03 -- Old Cart  Centre Table,Table,Coffee Table,Wood,
