,Item Code,Category,Type,Material
2059,RC1012-018 -- Wooden Horse,Home Decor,,Wood
2060,IR221AC -- Fragrance vapouriser,Home Decor,,Wood
2061,NA-226 -- Bottle,Home Decor,,Wood
2062,GH-38 -- Marbal Bowl,Home Decor,,Wood
2063,STV-010PTD -- Kurata,Home Decor,,Wood
2064,SAE1013-37 -- Paper Mashe Box,Home Decor,,Wood
2065,LBWL010-47 -- Brass Singing Bowl Small,Home Decor,,Wood
2066,SLMPNTNG-02 -- Madhubani Painting,Home Decor,,Wood
2067,SLMPNTNG-10 -- Madhubani Painting,Home Decor,,Wood
2068,RCC1013-03 -- IRON ANIMAL,Home Decor,,Wood
2069,SAE0716-45 -- Ceramic Tiles Hook,Home Decor,,Wood
2070,RMPNTNG-04 -- Laxmi/Ganesh,Home Decor,,Wood
2071,SLCSTD-05 -- Wooden+ Iron Candle Std,Home Decor,,Wood
2072,SAE0716-11 -- Brass Glass,Home Decor,,Wood
2073,MDC-02 -- Dream catcher Beads Native,Home Decor,,Wood
2074,SLDC-01 -- Dream Catcher,Home Decor,,Wood
2075,SILKCOT04 -- Maheshwari Silk Cotton wth Zari,Home Decor,,Wood
2076,SLCT-01 -- wooden khatia,Home Decor,,Wood
2077,SLMDR 01 -- Mandir Old teak,Home Decor,,Wood
2078,H2H0916-31 -- W/C 3Dr 1 Door Cabinet,Home Decor,,Wood
2079,SA-AQLCBD-03 -- Old Burma Teak Art Deco  Cupbord,Home Decor,,Wood
2080,SAE0716-82 -- Print Frame,Home Decor,,Wood
2081,KSPMTST-03 -- Paper Mashe Turtol Set,Home Decor,,Wood
2082,H2H0915-54 -- IRON PLATE STAND,Home Decor,,Wood
2083,SAE0716-70 -- Iron Cow Bell,Home Decor,,Wood
2084,SLCHST-16 -- Old burma teak chest,Home Decor,,Wood
2085,IR951AC -- Fragrance Sachet Apple Cinomon,Home Decor,,Wood
2086,SLPT-01 -- Roti Maker,Home Decor,,Wood
2087,SLPF-02 -- Distress white,Home Decor,,Wood
2088,STV-005 -- Kurta,Home Decor,,Wood
