Index,Date,Quantity,Cost,GDP,CPI
7609,2012-02,1,13500.0,0.0,2
7610,2012-09,1,13500.0,993.5600000000012,2
7611,2010-10,1,12150.0,0.0,1
7612,2011-06,1,12825.0,1908.630000000001,4
7613,2011-09,1,13500.0,1078.41,1
7614,2012-03,1,12825.0,148.04999999999927,4
7615,2016-09,1,24000.0,509.9700000000012,1
7616,2014-09,1,19950.0,-549.5400000000009,0
7617,2012-09,1,20900.0,993.5600000000012,2
7618,2013-07,1,6000.0,0.0,2
7619,2014-01,1,8370.0,0.0,1
7620,2011-06,1,8280.0,1908.630000000001,4
7621,2011-03,1,9000.0,-161.67000000000192,1
7622,2012-05,1,9000.0,0.0,2
7623,2010-10,1,9000.0,0.0,1
7624,2017-08,1,13000.0,0.0,0
7625,2012-05,1,9000.0,0.0,2
7626,2010-09,1,9000.0,1163.2599999999984,2
7627,2011-07,1,8550.0,0.0,1
7628,2011-04,1,9000.0,0.0,1
7629,2012-12,1,4000.0,-148.4300000000003,2
7630,2011-05,1,3800.0,0.0,2
7631,2015-01,1,16000.0,0.0,-1
7632,2014-09,1,16000.0,-549.5400000000009,0
7633,2010-10,1,9450.0,0.0,1
7634,2011-02,1,11400.0,0.0,0
7635,2011-05,1,10000.0,0.0,2
7636,2012-12,1,10500.0,-148.4300000000003,2
7637,2011-02,1,9975.0,0.0,0
7638,2014-09,1,9595.0,-549.5400000000009,0
7639,2011-05,1,9500.0,0.0,2
7640,2010-10,1,9500.0,0.0,1
7641,2011-12,1,8000.0,-116.04999999999927,1
7642,2011-03,1,7600.0,-161.67000000000192,1
7643,2011-04,1,8000.0,0.0,1
7644,2016-04,1,9000.0,0.0,4
7645,2011-05,1,6750.0,0.0,2
7646,2011-03,1,3000.0,-161.67000000000192,1
7647,2011-11,1,16200.0,0.0,-2
7648,2011-06,1,17100.0,1908.630000000001,4
7649,2015-11,1,22000.0,0.0,-1
7754,2016-05,1,14725.0,0.0,2
7755,2015-10,1,21000.0,0.0,1
7756,2014-01,1,13485.0,0.0,1
7757,2011-05,1,20900.0,0.0,2
7758,2014-06,1,5700.0,697.5699999999997,6
7759,2010-02,1,20900.0,0.0,0
7760,2014-06,1,19950.0,697.5699999999997,6
7816,2012-07,2,11970.0,0.0,2
7817,2014-02,1,13000.0,0.0,1
7818,2016-01,2,19000.0,0.0,-2
7819,2015-12,2,19000.0,1612.430000000004,0
7820,2017-02,2,18000.0,0.0,1
7821,2015-03,2,17000.0,191.34000000000012,2
7822,2015-02,1,8100.0,0.0,1
7823,2015-12,4,36100.0,1612.430000000004,0
7824,2014-12,2,22800.0,1856.0400000000006,1
7825,2015-11,2,18000.0,0.0,-1
7826,2015-12,2,17100.0,1612.430000000004,0
7827,2016-01,1,9500.0,0.0,-2
7828,2015-07,2,13680.0,0.0,1
7829,2017-11,2,9595.0,0.0,-2
7830,2017-10,1,6500.0,0.0,1
7831,2014-07,1,9000.0,0.0,1
7832,2015-12,2,14400.0,1612.430000000004,0
7874,2011-08,1,382.0,0.0,3
7875,2011-05,1,430.0,0.0,2
7876,2011-04,1,430.0,0.0,1
7877,2011-08,1,382.0,0.0,3
7878,2015-12,1,61750.0,1612.430000000004,0
7879,2011-11,2,860.0,0.0,-2
7882,2014-07,1,57000.0,0.0,1
7883,2014-01,1,53010.0,0.0,1
7884,2014-01,1,54150.0,0.0,1
7885,2015-03,1,57000.0,191.34000000000012,2
7886,2010-02,1,20000.0,0.0,0
7887,2015-01,1,125000.0,0.0,-1
7888,2017-11,1,55000.0,0.0,-2
7889,2014-10,1,72200.0,0.0,0
7987,2013-10,1,19000.0,0.0,2
7988,2013-10,1,19950.0,0.0,2
7989,2014-12,2,13300.0,1856.0400000000006,1
7990,2011-04,1,356.0,0.0,1
7991,2014-06,1,12825.0,697.5699999999997,6
7992,2014-05,1,14000.0,0.0,2
7993,2014-09,1,27550.0,-549.5400000000009,0
7994,2016-08,1,27550.0,0.0,-1
7997,2017-01,1,20000.0,0.0,0
7999,2013-08,1,1059.0,0.0,1
8031,2011-02,1,744.0,0.0,0
8032,2014-12,1,5820.0,1856.0400000000006,1
8035,2013-05,1,1720.0,0.0,3
8036,2014-01,1,4446.0,0.0,1
8037,2014-12,1,4990.0,1856.0400000000006,1
8038,2014-12,1,1744.0,1856.0400000000006,1
8039,2013-04,1,1750.0,0.0,2
8044,2013-04,1,1757.5,0.0,2
8045,2017-03,1,1585.98,695.9799999999959,2
8046,2015-04,1,1600.0,0.0,2
8047,2013-12,1,1520.0,1041.2100000000028,-2
8048,2016-01,1,1600.0,0.0,-2
8049,2015-03,1,1800.0,191.34000000000012,2
8050,2014-06,2,2844.44,697.5699999999997,6
8051,2016-02,2,3420.0,0.0,1
8052,2014-09,2,3200.0,-549.5400000000009,0
8053,2017-12,4,7200.0,0.0,-2
8054,2017-01,2,3600.0,0.0,0
8055,2013-12,1,1351.11,1041.2100000000028,-2
8056,2017-06,6,12000.0,1907.5299999999988,5
8057,2016-04,2,3200.0,0.0,4
8058,2013-12,4,6400.0,1041.2100000000028,-2
8059,2014-08,3,4800.0,0.0,0
8060,2011-06,3,4500.0,1908.630000000001,4
8061,2013-02,2,3200.0,0.0,1
8062,2013-02,1,1520.0,0.0,1
8063,2011-01,1,1500.0,0.0,-3
8064,2010-08,1,1500.0,0.0,1
8065,2011-01,2,3000.0,0.0,-3
8066,2011-09,4,5700.0,1078.41,1
8067,2011-11,2,3000.0,0.0,-2
8068,2015-01,2,3200.0,0.0,-1
8069,2013-12,2,3200.0,1041.2100000000028,-2
8070,2014-12,3,4800.0,1856.0400000000006,1
