Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0916-34 -- 15"" Elephant stool",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0916-35 -- 18"" Elephant stool",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-36 -- elephant stool brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-37 -- elephant stool,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-38 -- Elephant table brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-40 -- Wooden Bajot Brass Ftd,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-41 -- Bajot Painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1012-03 -- WD MAGAZINE HOLDER,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1012-04 -- WD MAGAZINE RACK,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1013-05 -- Magzine std.,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1013-46 -- STOOL,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1013-50 -- Coloured stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-03 -- Wooden Elephant,Home Decor,Animal,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP1216-04 -- Wooden 15"" Elphant Stool",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-05 -- Wooden Elphant Beanch Brass Fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-12 -- Iron Consale Table S/3,Table,Console,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-13 -- Book Shelf Round Iron,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-15 -- Iron Round Stool,Table,Stool,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-19 -- Wooden Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-20 -- Wooden Teak Wine bar,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-24 -- Wooden Bed Side Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP1216-26 -- Wooden Bed Side Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF -- Wooden Book shelf,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF-1 -- OPEN BOOK SHELF CASE,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF-2 -- OPEN BOOK SHELF/CASE,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF-3 -- OPEN CARVED BOOK SHELF/CASE,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF-4 -- OPEN CARVED BOOK SHELF/CASE,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BK-SHF-5 -- OPEN INDUSTRIAL BOOK SHELF/CASE,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BNCH -- bench with tile,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-BNCH-1 -- BENCH WITH TILE,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SBRD-2 -- WHITE OPEN SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SBRD-3 -- WHITE SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SBRD-4 -- DISTRESSED SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SBRD-5 -- DISTRESSED SIDEBOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SHF-6 -- RUSTIC SHELF WITH RACKS,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP-SRD-1 -- WHITE OPEN SIDEBOARDS,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-BED-TW-02 -- calcutta styled bed big size,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-PIL-STH-01 -- South Indian pillars_MAX DIA 23`` HEIGHT 111``,Pillar,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-PIL-STH-02 -- South Indian pillars_MAX DIA 23`` HEIGHT 111``,Pillar,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-PTNR- TBL-HW-01 -- Patner Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-SDE-TBL- 02/ 2 OF 2 -- BEd Side table  L20 W 16 H 19``,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-SDE-TBL- 03 - 1 OF 2 -- Bed Side Corner Table Carved,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-SIDE- TBL-HW-01 -- Side Table with Glass Top,Table,Side Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-TBL- GLS-HW-02 -- Side Table with Glass Top,Table,Side Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-TBL-HW-01 -- Corner Table Small,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAX-PNE-04-2017-WDW-TW-03 -- Window H/W/Raj,Window,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LBNCH-01 -- Burma Teak Beanch,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LCBD-07 -- Rosewood & Burma teak  Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LCBD-13 -- Old Burma Teak,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LCHR-01 -- Rose wood Chair wth Cane,Chair,Cane Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LCHST-01 -- Old burma Teak Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LCHST-03 -- Old Burma teak Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LHRK-01 -- Old Hat Rack,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSBD-01 -- Old Burma Teak Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSBD-02 -- Old Burma Teak 4 Poster Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSBRD-01 -- Burma teak Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCBNT-02 -- Old Burma Teak,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCBRD-04 -- Old Burma Teak  Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCBRD-05 -- Old  Burma Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCHR-01 -- Burma teak Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCHR-02 -- Old Rose Wood Chair wth arm rest,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCHR-04 -- Old Burma teak Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCHR-06 -- old folding chair,Chair,Folding Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCHST-01 -- Old Rose wood Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCODR-01 -- Old Burma Teak Chest Of Drawaer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCODR-02 -- Old Burma teak Chest of Drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCSE-03 -- Old Burma Teak,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCTBL-01 -- Burma Teak Centre Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSDTBL-01 -- Old Burma teak Dinning Table set 4 Chair,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSDTBL-02 -- Old Burma teak Dressing Table,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSHRK-01 -- Old Burma Teak Hat,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSHTRK-01 -- OLd Burma Teak Hat Rack,Stand,Hat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSPT-01 -- Old Rose wood Big Pat,Bajot,Pidda,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSBRD-01 -- Burma teak Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSCSE-04 -- Burma Teak Show Case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSFA-03 -- Cushion+Cane Craved Burma Teak Sofa Set 2+1+1,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSFA-04 -- Old Burma Teak Cushion 2 Seater,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSSFA-05 -- Cushion Shage Lounge,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTBL-01 --  Burma teak Wood Tiles Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTBL-011 -- OLd Burma teak Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTBL-05 -- Burma Teak Bed Side Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LTBL-01 -- Old Burma teak TABLE,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LTBL-02 -- Old Burma teak  Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0215-03 -- Almira,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0215-07 -- Industrial Book Shelf,Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0215-08 -- Mirror Frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-02 -- Old wooden Window Mirror,Window,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-03 -- Old wooden Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-04 -- Old wooden Almirah,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-05 -- Wooden painted Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-11 -- Mirror frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-12 -- Mirror frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-13 -- Mirror frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-16 -- Bed Side Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-18 -- Old wooden swing,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-20 -- Old wooden swing,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-21 -- Old wooden corner Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-32 -- Old Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-35 -- Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-42 -- Consale Sofa,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-44 -- Cycle Consale Table,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-46 -- Painted Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0915-47 -- Painted Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE0916-10 -- Painted Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1000B -- WDN BOX FULL METAL FTD
BIG",Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1000M -- WDN BOX FULL METAL FTD
MEDIUM",Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1000S -- WDN BOX FULL METAL FTD
SMALL",Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1085 -- WDN/ROPE KHAT
36X72X18",Home Decor,Charpai,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1094 -- WDN BOOKSELF CARVED RUSTIC.
49X17X86",Shelf,Book Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE-1099 -- WDN BOX BRASS FTD RUSTIC,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1104 -- WDN BOX RUSTIC
51X18X18",Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-1106 -- WDN BOX IRON FTD.
46X24X17",Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE-1114 -- WDN BOX BRASS FTD RUSTIC,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-09 -- Wdn. Carving Bajot,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-16 -- Wooden Artistic Pinjara,Home Decor,Cage,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-18 -- Wooden Artistic Pinjara,Home Decor,Cage,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-24 -- Wdn. Decorative Carved Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-25 -- Wdn. Std.,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-27 -- Wooden Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-30 -- Wdn. Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-36 -- Wdn Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MAE1216-41 -- Wooden Artistic Pinjara,Home Decor,Cage,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE-29 -- WDN 1 DRAWER MIRROR STAND PAINTED
19X6X44",Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-SNG-1 OF 5 -- Wooden Small Boxes with Inside Mirror,Home Decor,Box,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-SNG-2 OF 5 -- Wooden Small Boxes with Inside Mirror,Home Decor,Box,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-SNG-3 OF 5 -- Wooden Small Boxes with Inside Mirror,Home Decor,Box,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-SNG-4 OF 5 -- Wooden Small Boxes with Inside Mirror,Home Decor,Box,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-10 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-11 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-2 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-3 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-4 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-5 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-7 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-BOX-TIK-9 OF 14 -- Wooden Small Boxes with compatment,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-BRM-HW-1 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-BRM-HW-3 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-BRM-HW-5 of 9 -- Hanging Bathroom Mirror, Hardwood. 27""LX3""WX22""H",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-1 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-2 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-3 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-4 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-5 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-6 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-7 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CAB-HW-9 OF 10 -- Wooden Small Cabinet with Glass Door, 13""LX5""WX18""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CBD-HW-0 -- Wooden/Glass Cabinet, Hardwood. 36""LX17""X66""H",Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"MH-JDH-04-2017-CBD-HW-01 -- Wooden Almirah with Glass Door, 36""LX16""WX59""H",Cupboard,Regular,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-KRL-HW-7 -- Wooden Parrat,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 10 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 11 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 12 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 13 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 14 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 15 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 16 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 17 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 18 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 19 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 20 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 4 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF- 6 of 20 -- Small Size Wall Hanging Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF-HW-1 OF 3 -- Big Size Wooden Frame Mirror,Mirror,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-MRF-HW-2 OF 3 -- Big  Size Wooden Frame Mirror,Mirror,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-1 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-2 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-3 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-4 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-5 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-JDH-04-2017-PRT-MRB-6 OF 6 -- Marble Plates,Home Decor,Plate,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
MM SFA-01 --  Burma teak Shage lounge,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MM ZULA-01 -- BHAVNAGARI ZULA,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMBNCH-01 -- Burma Teak Cast Iron Bench,Chair,Bench,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCHR-01 -- Burma & Cane arm chair,Chair,Cane,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCHR-04 -- Chair Burma Teak,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMCSTD-01 -- Burma Teak Coat std,Stand,Coat Rack,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMDMIR-02 -- Wall mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMDMIR-03 -- Wall mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMJLA-01 -- Bhavnagari Jhula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMRK-02 -- New Burma teak rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMRK-04 -- Old Kitchen manani,Home Decor,Utensil,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMRK-07 -- Old Burma teak rack,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMSCSE-02 -- show case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMSFA-02 -- Burma teak Cushion Sofa Set 2+1,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-01 -- Old Burma & Rosewood Dressing,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-02 -- BT Table,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-03 -- burma teak (cosgn)dressing,Table,Dressing Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-04 -- burma teak (cosgn) centre table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-05 -- Simple new table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MMTBL-06 -- Burma Teak Tile Console,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSBD-01 -- Old Burma Teak  Bed,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCBD-01 -- Old  Burma Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCBD-02 -- Old Burma Teak   cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCBD-03 -- Old Burma Teak& Rose wood Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCBRD-08 -- OLd Burma Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCHR-01 --  BurmaTeak  Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCHR-02 -- Planter Chair burma Teak,Chair,Planter,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCOD-02 -- Burma teak chest of drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCOD-03 -- Burma Teak Chest of Drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCSE-03 -- Burma Teak Book Show case,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
