Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
GH-92 -- Wooden Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-93 -- Wooden Writting Desk,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H001 -- W/C Shelf,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-01 -- W/c Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-02 -- W/c Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-04 -- W/c Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-07 -- W/C Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-08 -- W/C Sofa Chair,Chair,Sofa Chair with Fabric,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-10 -- W/c Trolly Bar,Trolly,,Wood,New category for trolly?,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0116-11 -- W/C Sofa Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H013 --  frame Iron Mirror,Mirror,,Glass and Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H017 -- W/C Bar,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H018 -- W/C 4Table Wth 4 stool,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-02 -- W/c Old Door Bar,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-04 -- W/c Dining Table with 6 Chairs (Table with wood top),Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-06 -- W/c Console Table,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-09 -- W/c CD Rack Small,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H0215-110 -- W/c Teak Writing Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
