Item Code,Date,Quantity,Cost,Category,Type,Material
FE0115-02,2015-01-24,1,Rs.888.89,Home Decor,,Wood
FE0115-03,2015-09-01,1,Rs.1200.00,Home Decor,,Wood
FE0115-03,2015-01-24,1,Rs.1200.00,Home Decor,,Wood
FE0115-03,2015-01-03,1,Rs.1066.67,Home Decor,,Wood
FE0115-03,2015-01-31,1,Rs.1200.00,Home Decor,,Wood
FE0115-03,2015-01-14,1,Rs.1067.00,Home Decor,,Wood
FE0115-04,2015-10-01,1,Rs.1156.00,Home Decor,,Wood
FE0115-04,2015-01-30,1,Rs.1333.30,Home Decor,,Wood
FE0115-04,2015-01-24,1,Rs.1333.33,Home Decor,,Wood
FE0115-04,2015-03-14,1,Rs.1333.33,Home Decor,,Wood
FE0115-04,2015-01-29,1,Rs.1333.33,Home Decor,,Wood
FE0115-04,2015-02-26,1,Rs.1333.33,Home Decor,,Wood
FE0115-05,2015-01-13,1,Rs.400.20,Home Decor,,Wood
FE0115-05,2015-03-02,2,Rs.888.88,Home Decor,,Wood
FE0115-05,2016-03-25,1,Rs.500.00,Home Decor,,Wood
FE0115-05,2015-01-14,1,Rs.444.00,Home Decor,,Wood
FE0115-05,2015-04-25,1,Rs.444.44,Home Decor,,Wood
FE0115-06,2015-01-24,2,Rs.2400.00,Home Decor,,Wood
FE0115-07,2016-04-03,1,Rs.425.00,Home Decor,,Wood
FE0115-07,2015-12-07,1,Rs.755.56,Home Decor,,Wood
FE0115-07,2015-04-25,1,Rs.756.00,Home Decor,,Wood
FE0115-07,2015-04-08,3,Rs.2268.00,Home Decor,,Wood
FE0115-07,2015-11-29,2,Rs.1510.00,Home Decor,,Wood
FE0115-07,2015-11-01,1,Rs.756.00,Home Decor,,Wood
FE0115-07,2015-01-21,2,Rs.1500.00,Home Decor,,Wood
FE0115-07,2015-11-11,1,Rs.756.00,Home Decor,,Wood
FE0115-08,2015-05-30,2,Rs.560.00,Home Decor,,Wood
FE0115-08,2015-10-01,4,Rs.1244.00,Home Decor,,Wood
FE0115-08,2015-02-26,1,Rs.311.11,Home Decor,,Wood
FE0115-09,2015-01-25,2,Rs.3200.00,Home Decor,,Wood
FE0115-09,2015-04-10,1,Rs.1800.00,Home Decor,,Wood
FE0115-09,2015-09-01,1,Rs.1600.00,Home Decor,,Wood
FE0115-09,2015-04-10,1,Rs.1600.00,Home Decor,,Wood
FE0115-09,2015-10-24,1,Rs.1600.00,Home Decor,,Wood
FE0115-10,2015-10-11,2,Rs.2185.00,Home Decor,,Wood
FE0115-11,2015-12-13,1,Rs.1022.00,Home Decor,,Wood
FE0115-13,2015-10-31,1,Rs.3500.00,Home Decor,,Wood
FE0115-13,2015-06-11,1,Rs.1333.33,Home Decor,,Wood
FE0115-13,2015-03-14,1,Rs.3110.31,Home Decor,,Wood
FE0115-13,2015-10-24,1,Rs.3500.00,Home Decor,,Wood
FE0115-14,2015-10-30,1,Rs.2500.00,Home Decor,,Wood
FE0115-14,2015-02-22,1,Rs.2222.22,Home Decor,,Wood
FE0115-14,2015-06-09,2,Rs.2850.00,Home Decor,,Wood
FE0115-14,2015-10-15,1,Rs.2222.40,Home Decor,,Wood
FE0115-15,2015-02-16,1,Rs.1333.05,Home Decor,,Wood
FE0115-15,2015-09-26,1,Rs.1500.00,Home Decor,,Wood
FE0115-15,2015-03-14,1,Rs.1500.00,Home Decor,,Wood
FE0115-15,2015-05-10,1,Rs.1333.33,Home Decor,,Wood
